@RELATION FingerPrint
@attribute typePoint0 numeric
@attribute gradienPoint0 numeric
@attribute distancePoint0 numeric
@attribute typePoint1 numeric
@attribute gradienPoint1 numeric
@attribute distancePoint1 numeric
@attribute typePoint2 numeric
@attribute gradienPoint2 numeric
@attribute distancePoint2 numeric
@attribute typePoint3 numeric
@attribute gradienPoint3 numeric
@attribute distancePoint3 numeric
@attribute typePoint4 numeric
@attribute gradienPoint4 numeric
@attribute distancePoint4 numeric
@attribute typePoint5 numeric
@attribute gradienPoint5 numeric
@attribute distancePoint5 numeric
@attribute typePoint6 numeric
@attribute gradienPoint6 numeric
@attribute distancePoint6 numeric
@attribute typePoint7 numeric
@attribute gradienPoint7 numeric
@attribute distancePoint7 numeric
@attribute typePoint8 numeric
@attribute gradienPoint8 numeric
@attribute distancePoint8 numeric
@attribute typePoint9 numeric
@attribute gradienPoint9 numeric
@attribute distancePoint9 numeric
@attribute typePoint10 numeric
@attribute gradienPoint10 numeric
@attribute distancePoint10 numeric
@attribute typePoint11 numeric
@attribute gradienPoint11 numeric
@attribute distancePoint11 numeric
@attribute typePoint12 numeric
@attribute gradienPoint12 numeric
@attribute distancePoint12 numeric
@attribute typePoint13 numeric
@attribute gradienPoint13 numeric
@attribute distancePoint13 numeric
@attribute typePoint14 numeric
@attribute gradienPoint14 numeric
@attribute distancePoint14 numeric
@attribute typePoint15 numeric
@attribute gradienPoint15 numeric
@attribute distancePoint15 numeric
@attribute typePoint16 numeric
@attribute gradienPoint16 numeric
@attribute distancePoint16 numeric
@attribute typePoint17 numeric
@attribute gradienPoint17 numeric
@attribute distancePoint17 numeric
@attribute typePoint18 numeric
@attribute gradienPoint18 numeric
@attribute distancePoint18 numeric
@attribute typePoint19 numeric
@attribute gradienPoint19 numeric
@attribute distancePoint19 numeric
@attribute class {+1, -1}

@data
1,1.5325224785350655,40.496913462633174,1,1.5300459649689815,38.2099463490856,1,1.5704560287200298,34.36568055487916,1,1.535529934652804,34.058772731852805,1,1.570426930489409,32.55764119219941,1,0.0020991393181963042,32.38826948140329,1,1.5706959016439153,32.2490309931942,1,1.476502847637646,31.25699921617557,1,1.5447083202117116,31.11269837220809,1,1.570578787007752,30.4138126514911,1,1.5627956839843606,28.600699292150182,1,8.831653206105282E-4,28.178005607210743,1,1.5707074047997764,28.0178514522438,1,0.0022843300579522808,27.0,1,1.569109925510726,26.019223662515376,1,1.5707168173729038,26.0,1,1.5688943944144003,25.612496949731394,1,1.5679628342523402,24.0,1,1.5701220938382041,23.53720459187964,1,0.0016568599552030437,23.53720459187964,+1
1,1.5427297518951453,45.803929962395145,1,1.5430247889060653,43.01162633521314,1,1.5448380919375317,40.45985664828782,1,1.5294316836948507,38.01315561749642,1,1.5703152037266466,36.05551275463989,1,1.5698972316595121,35.0,1,1.5703377742179738,34.438350715445125,1,1.5399368803369493,33.24154027718932,1,1.5703981271572212,33.06055050963308,1,1.5697902597704783,32.802438933713454,1,1.57026916452597,31.016124838541646,1,1.5361142146962556,31.016124838541646,1,1.5673020206621684,29.732137494637012,1,1.5691565175220024,26.476404589747453,2,1.5033169975674696,24.839484696748443,2,1.541684410982215,24.351591323771842,2,1.4967195136741522,24.08318915758459,2,1.566837836323382,24.08318915758459,1,1.5257997176289453,24.020824298928627,1,1.5686800638686114,23.600847442411894,+1
2,1.5695246479057963,36.069377593742864,1,8.567396429807337E-4,33.24154027718932,1,0.001239863156784961,31.016124838541646,1,1.5501719485442553,27.586228448267445,1,1.5651818300470022,26.40075756488817,1,1.542411568461569,26.0,1,1.5642118294324303,25.059928172283335,1,1.5700808058338125,24.186773244895647,1,1.5447605895301524,23.853720883753127,1,1.5636202089066136,23.600847442411894,1,1.5060771312748302,23.345235059857504,1,1.5695656584621345,23.194827009486403,2,1.4380312388348713,23.021728866442675,1,1.5698246792833945,22.360679774997898,1,6.005848103695828E-4,22.360679774997898,1,0.001245006738371973,22.02271554554524,1,1.5531078646002539,21.95449840010015,1,0.009696858236865275,21.633307652783937,1,1.5318284020885289,21.540659228538015,1,0.004887395711752924,21.213203435596427,+1
2,1.4251166316020034,47.4236228055175,2,0.0,42.44997055358225,1,0.011745689371992673,37.0,1,0.016232377725845924,33.24154027718932,2,1.5306367276402029,32.802438933713454,1,1.5678317051209287,32.449961479175904,1,1.5478660482213582,30.59411708155671,1,0.0081530374993577,30.0,1,1.5680930968548887,29.120439557122072,1,1.5349464269626476,28.635642126552707,1,1.546727475390994,28.442925306655784,1,0.0660318403627853,27.730849247724095,1,1.5248008394579462,27.459060435491963,1,1.5184257175828597,27.073972741361768,1,1.5699873047211095,26.627053911388696,1,1.5250087470841573,25.495097567963924,1,1.5550788472145687,25.0,1,1.5396630979647834,24.413111231467404,1,0.014404716349395835,23.0,1,1.5569679484161123,22.80350850198276,+1
2,0.0,33.97057550292606,2,1.5697371385721717,26.1725046566048,1,1.570586087250385,24.041630560342615,1,1.5704378967254315,23.021728866442675,1,1.475195268268148,22.80350850198276,1,1.5698257770472916,22.20360331117452,2,1.4849850487077272,21.633307652783937,1,1.5686364075176549,21.02379604162864,1,1.5706757017069193,20.615528128088304,1,0.0143007975295435,19.924858845171276,1,1.4307653607395558,19.72308292331602,1,1.5702114306873811,19.6468827043885,1,1.5706332680983535,19.313207915827967,1,1.569967055677734,19.235384061671343,1,1.5379378606970302,18.601075237738275,1,1.5001451254573466,18.439088914585774,1,0.004182249072686068,18.384776310850235,2,0.006562542048899662,18.384776310850235,1,1.5676868187522206,18.110770276274835,1,1.5689393671421092,18.027756377319946,+1
2,0.0,59.20304046246274,2,1.5239956143402864,40.24922359499622,1,1.4356962875261914,39.05124837953327,1,1.4521962789833602,37.8549864614954,1,1.4337032778552317,31.400636936215164,1,1.5393685371396428,30.066592756745816,1,1.555418138392732,28.178005607210743,1,1.5247953453499536,27.892651361962706,2,1.5278898041589997,27.018512172212592,1,9.672752861043722E-4,26.476404589747453,2,1.567410423183639,26.40075756488817,2,1.5688332182615108,26.019223662515376,1,1.5695954941431531,25.0,1,0.6987264594502292,24.351591323771842,1,1.5698070282082863,24.08318915758459,1,1.5641720425640582,23.769728648009426,1,1.555406816623129,23.259406699226016,1,9.082058959193728E-4,22.847319317591726,1,1.5347397836625014,22.561028345356956,1,1.564325009584909,22.360679774997898,+1
2,0.0,41.86884283091664,2,0.0,40.80441152620633,1,1.5259419964537386,39.20459156782532,1,1.2766039619534855,36.359317925395686,1,1.5693503233407018,32.802438933713454,1,1.5265878814203035,31.38470965295043,1,1.570723632595242,31.064449134018133,1,1.5691563373064785,31.016124838541646,1,1.5686306608898468,30.610455730027933,1,1.5707658388808095,29.410882339705484,1,1.5707544322999476,28.30194339616981,1,1.4735171589936455,27.65863337187866,1,1.5474414181556277,27.294688127912362,1,1.5707623420778922,27.202941017470888,1,1.570749955582327,26.076809620810597,1,1.5707649979923841,25.553864678361276,2,0.009623284811767796,25.0,1,1.567983402294707,24.698178070456937,1,1.5702156070960345,23.706539182259394,1,1.569150788943802,23.53720459187964,+1
1,1.4283855703726915,36.069377593742864,1,1.5087350540727391,27.730849247724095,1,1.5681522007373978,26.40075756488817,1,1.5560760827837938,25.238858928247925,1,1.5663539204852148,24.413111231467404,2,1.5609689254882357,24.020824298928627,1,1.5667793044266425,23.853720883753127,1,1.5703518442062376,23.430749027719962,1,1.5431162966807408,23.345235059857504,1,0.005901264717024671,23.323807579381203,1,0.13897235167290642,23.021728866442675,2,1.5699963502922731,23.0,1,0.019476085338639287,22.847319317591726,1,1.5176555413204134,22.561028345356956,1,1.5493171219595463,22.360679774997898,1,0.0015430481300026271,22.360679774997898,2,0.0023187160462714994,22.090722034374522,1,1.564666906295037,22.090722034374522,1,1.5677793444004846,21.633307652783937,1,1.5702740772017485,21.587033144922902,+1
2,0.0,44.01136216933077,1,1.5469147582810518,37.013511046643494,2,1.5689192171644915,35.510561809129406,1,1.5468443828033345,33.734255586866,1,1.5078807901666307,33.61547262794322,1,1.547844288272183,32.69556544854363,1,1.5304029232255794,31.400636936215164,1,1.5418468469973534,31.064449134018133,1,1.5531029828204073,28.178005607210743,1,1.5401599851619818,28.071337695236398,1,8.85697057449426E-4,27.294688127912362,1,0.0066084538693776985,26.92582403567252,1,1.4435137850289437,25.298221281347036,1,1.4786164804631057,25.179356624028344,1,0.002481299690961017,24.758836806279895,1,8.188227419749671E-4,24.73863375370596,1,1.5666039344838452,24.73863375370596,1,1.5705836805228488,24.413111231467404,1,1.5408352835351113,24.20743687382041,1,1.5683701928212754,24.041630560342615,-1
2,0.3009549699298046,42.01190307520001,1,1.5408510836430893,36.138621999185304,1,1.2509019819600546,35.90264614203248,1,0.14565748523147368,35.12833614050059,1,1.5119808306561149,34.0,2,0.0,32.7566787083184,1,1.5270304757955213,32.01562118716424,1,1.5698293373324348,30.805843601498726,1,1.5074679708909766,30.083217912982647,1,1.5705405711019613,29.120439557122072,1,1.5346919957703602,29.120439557122072,2,0.0,29.0,1,1.5616580039073837,28.071337695236398,1,1.5697738295362602,28.0,1,0.16411617839164416,27.073972741361768,1,1.5698366542321431,26.019223662515376,2,1.5696171798323504,25.317977802344327,1,0.12924003589214408,25.179356624028344,1,1.5696816641422486,25.179356624028344,1,1.5461852426586749,24.839484696748443,-1
